profile	owner_class	disposition	method	mode	signature	endpoint_source	compile_condition	authority_and_payload	delegate	replay_policy	protocol_constant	in_repo_references	rust_signature	replacement	executable_callers
fleet-subnet-root	canic-owned	role-status-variant	canic_authority_restore_fence_status	query	canic_authority_restore_fence_status : () -> (Result) query;	crates/canic/src/macros/endpoints/shared.rs:12	always	#[$crate::canic_query(requires(caller::is_controller()))]	$crate::__internal::core::api::authority_restore::AuthorityRestoreApi::status()	query_read_only	CANIC_AUTHORITY_RESTORE_FENCE_STATUS	crates/canic-core/src/domain/policy/pure/fleet_activation.rs:281;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:39;crates/canic-testing-internal/src/pic/fleet_coordinator/mod.rs:293;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:105;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:874;crates/canic/tests/protocol_surface.rs:2775	async fn canic_authority_restore_fence_status() -> Result< ::canic::dto::authority_restore::AuthorityRestoreFenceStatusResponse, ::canic::Error, >	RootStatusRequest::AuthorityRestore	crates/canic-testing-internal/src/pic/fleet_coordinator/mod.rs:293;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:105;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:874
fleet-subnet-root	canic-owned	role-command-variant	canic_authority_snapshot_prepare	update	canic_authority_snapshot_prepare : (AuthoritySnapshotRequest) -> (Result);	crates/canic/src/macros/endpoints/shared.rs:20	always	#[$crate::canic_update(requires(caller::is_controller()))]	$crate::__internal::core::api::authority_restore::AuthorityRestoreApi::prepare_snapshot(	update_response_idempotent	CANIC_AUTHORITY_SNAPSHOT_PREPARE	crates/canic-core/src/domain/policy/pure/authority_restore.rs:31;crates/canic-core/src/domain/policy/pure/authority_restore.rs:47;crates/canic-core/src/domain/policy/pure/authority_restore.rs:7;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:284;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:39;crates/canic-testing-internal/src/pic/fleet_coordinator/mod.rs:260;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:105;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:932;crates/canic/tests/protocol_surface.rs:2776	async fn canic_authority_snapshot_prepare( request: ::canic::dto::authority_restore::AuthoritySnapshotRequest, ) -> Result< ::canic::dto::authority_restore::AuthorityRestoreFenceStatusResponse, ::canic::Error, >	RootCommand::PrepareAuthoritySnapshot	crates/canic-testing-internal/src/pic/fleet_coordinator/mod.rs:260;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:105;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:932
fleet-subnet-root	canic-owned	role-command-variant	canic_authority_snapshot_resume	update	canic_authority_snapshot_resume : (AuthoritySnapshotRequest) -> (Result);	crates/canic/src/macros/endpoints/shared.rs:33	always	#[$crate::canic_update(requires(caller::is_controller()))]	$crate::__internal::core::api::authority_restore::AuthorityRestoreApi::resume_snapshot(	update_response_idempotent	CANIC_AUTHORITY_SNAPSHOT_RESUME	crates/canic-core/src/domain/policy/pure/authority_restore.rs:31;crates/canic-core/src/domain/policy/pure/authority_restore.rs:48;crates/canic-core/src/domain/policy/pure/authority_restore.rs:7;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:285;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:40;crates/canic-testing-internal/src/pic/fleet_coordinator/mod.rs:274;crates/canic-testing-internal/src/pic/fleet_coordinator/mod.rs:305;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:106;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:900;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:944;crates/canic/tests/protocol_surface.rs:2777	async fn canic_authority_snapshot_resume( request: ::canic::dto::authority_restore::AuthoritySnapshotRequest, ) -> Result< ::canic::dto::authority_restore::AuthorityRestoreFenceStatusResponse, ::canic::Error, >	RootCommand::ResumeAuthoritySnapshot	crates/canic-testing-internal/src/pic/fleet_coordinator/mod.rs:274;crates/canic-testing-internal/src/pic/fleet_coordinator/mod.rs:305;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:106;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:900;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:944
fleet-subnet-root	canic-owned	role-status-variant	canic_bootstrap_status	query	canic_bootstrap_status : () -> (BootstrapStatusResponse) query;	crates/canic/src/macros/endpoints/shared.rs:62	always	#[$crate::canic_query(internal, public)]	$crate::__internal::core::api::ready::ReadyApi::bootstrap_status()	query_read_only(mode-derived)	missing	apps/skynet/console/src/lib.rs:69;apps/skynet/memory_cell/src/lib.rs:78;apps/skynet/node/src/lib.rs:115;apps/skynet/root/src/lib.rs:54;apps/skynet/t800/src/lib.rs:77;crates/canic-core/src/api/runtime/mod.rs:134;crates/canic-core/src/ops/runtime/bootstrap.rs:105;crates/canic-core/src/ops/runtime/bootstrap.rs:162	fn canic_bootstrap_status() -> ::canic::dto::state::BootstrapStatusResponse	RootStatusRequest::Overview	none
fleet-subnet-root	canic-owned	role-status-variant	canic_canister_children	query	canic_canister_children : (PageRequest) -> (Result_1) query;	crates/canic/src/macros/endpoints/topology.rs:25	always	#[$crate::canic_query(public)]	Ok($crate::__internal::core::api::topology::children::CanisterChildrenApi::page(page))	query_read_only(mode-derived)	CANIC_CANISTER_CHILDREN	apps/skynet/console/src/lib.rs:75;crates/canic-testing-internal/src/pic/root/topology.rs:181;crates/canic-tests/src/root/workers.rs:47	fn canic_canister_children( page: ::canic::dto::page::PageRequest, ) -> Result<::canic::dto::page::Page<::canic::dto::canister::CanisterInfo>, ::canic::Error>	RootStatusRequest::Children	crates/canic-testing-internal/src/pic/root/topology.rs:181;crates/canic-tests/src/root/workers.rs:47
fleet-subnet-root	canic-owned	role-command-variant	canic_canister_status	update	canic_canister_status : (principal) -> (Result_2);	crates/canic/src/macros/endpoints/root.rs:585	always	#[$crate::canic_update(requires(caller::is_controller()))]	$crate::__internal::core::api::ic::mgmt::MgmtApi::canister_status(pid).await	update_read_only	CANIC_CANISTER_STATUS	crates/canic-core/src/replay_policy/tests/endpoint.rs:155	async fn canic_canister_status( pid: ::canic::__internal::cdk::Principal, ) -> Result<::canic::dto::canister::CanisterStatusResponse, ::canic::Error>	RootCommand::InspectCanister	none
fleet-subnet-root	canic-owned	role-status-variant	canic_config	query	canic_config : () -> (Result_3) query;	crates/canic/src/macros/endpoints/root.rs:592	always	#[$crate::canic_query(requires(caller::is_controller()))]	$crate::__internal::core::api::config::ConfigApi::export_toml()	query_read_only(mode-derived)	CANIC_CONFIG	apps/skynet/root/src/lib.rs:118;crates/canic-cli/src/apps/adoption_report.rs:303;crates/canic-cli/src/apps/tests.rs:825;crates/canic-cli/src/deploy/check.rs:284;crates/canic-cli/src/deploy/check.rs:293;crates/canic-cli/src/deploy/tests/deploy_check.rs:246;crates/canic-host/src/build_provenance/envelope.rs:65;crates/canic-host/src/policy_gate/tests/envelope.rs:107;crates/canic-host/src/policy_gate/tests/envelope.rs:127;crates/canic-host/src/policy_gate/tests/envelope.rs:148	async fn canic_config() -> Result<String, ::canic::Error>	RootStatusRequest::Config	crates/canic-cli/src/apps/adoption_report.rs:303;crates/canic-cli/src/deploy/check.rs:284;crates/canic-cli/src/deploy/check.rs:293;crates/canic-host/src/build_provenance/envelope.rs:65
fleet-subnet-root	canic-owned	role-status-variant	canic_cycle_balance	query	canic_cycle_balance : () -> (Result_4) query;	crates/canic/src/macros/endpoints/shared.rs:52	always	#[$crate::canic_query(public)]	Ok($crate::__internal::cdk::api::canister_cycle_balance())	query_read_only(mode-derived)	CANIC_CYCLE_BALANCE	apps/skynet/console/src/lib.rs:80;crates/canic-host/src/cycle_balance/mod.rs:41;crates/canic-host/src/cycle_balance/mod.rs:56;crates/canic-host/src/replica_query/mod.rs:103;crates/canic-host/src/replica_query/mod.rs:109;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:1854;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:190	fn canic_cycle_balance() -> Result<u128, ::canic::Error>	RootStatusRequest::CycleBalance	crates/canic-host/src/cycle_balance/mod.rs:41;crates/canic-host/src/cycle_balance/mod.rs:56;crates/canic-host/src/replica_query/mod.rs:103;crates/canic-host/src/replica_query/mod.rs:109;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:1854;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:190
fleet-subnet-root	canic-owned	private-delete	canic_cycle_topups	query	canic_cycle_topups : (PageRequest) -> (Result_5) query;	crates/canic/src/macros/endpoints/cycles.rs:20	always	#[$crate::canic_query(public)]	Ok($crate::__internal::core::api::cycles::CycleTrackerQuery::topups(page))	query_read_only(mode-derived)	CANIC_CYCLE_TOPUPS	apps/skynet/console/src/lib.rs:82;crates/canic-cli/src/cycles/transport.rs:399;crates/canic-cli/src/cycles/transport.rs:406;crates/canic/tests/protocol_surface.rs:276;crates/canic/tests/protocol_surface.rs:277	fn canic_cycle_topups( page: ::canic::dto::page::PageRequest, ) -> Result<::canic::dto::page::Page<::canic::dto::cycles::CycleTopupEvent>, ::canic::Error>	none	none
fleet-subnet-root	canic-owned	role-status-variant	canic_cycle_tracker	query	canic_cycle_tracker : (PageRequest) -> (Result_6) query;	crates/canic/src/macros/endpoints/cycles.rs:12	always	#[$crate::canic_query(public)]	Ok($crate::__internal::core::api::cycles::CycleTrackerQuery::page(page))	query_read_only(mode-derived)	CANIC_CYCLE_TRACKER	apps/skynet/console/src/lib.rs:88;crates/canic-cli/src/cycles/transport.rs:431;crates/canic-cli/src/cycles/transport.rs:438;crates/canic-cli/src/cycles/transport.rs:575;crates/canic/tests/protocol_surface.rs:270;crates/canic/tests/protocol_surface.rs:271	fn canic_cycle_tracker( page: ::canic::dto::page::PageRequest, ) -> Result<::canic::dto::page::Page<::canic::dto::cycles::CycleTrackerEntry>, ::canic::Error>	RootStatusRequest::CycleHistory	crates/canic-cli/src/cycles/transport.rs:431;crates/canic-cli/src/cycles/transport.rs:438;crates/canic-cli/src/cycles/transport.rs:575
