path	classification	current_authority	closeout
apps/test/test/src/lib.rs	independent application custody	Executable application fixture observes the shared inventory	Retained without Canic scheduling authority
canisters/test/canic_icydb_lifecycle_probe/src/lib.rs	independent application custody	Published IcyDB participant reconstructs its own provider row	Retained as exact B7 composition evidence
canisters/test/delegation_root_stub/src/lib.rs	independent application custody	Executable Root participant observes exact Canic provider rows	Retained without Canic scheduling authority
canisters/test/intent_authority/src/lib.rs	private lifecycle consumer	Executable authority fixture initializes the exact nonroot runtime	Retained as lifecycle evidence, not excluded as test source
canisters/test/runtime_probe/src/lib.rs	independent application custody	Application holds direct native once, interval and capacity registrations	Retained as the maintained downstream adoption fixture
crates/canic-control-plane/src/api/fleet_coordinator.rs	private lifecycle consumer	Coordinator initializes the shared runtime and exact snapshot path	Retained without Root or application timer custody
crates/canic-control-plane/src/api/lifecycle.rs	private lifecycle consumer	Root lifecycle invokes exact pool/snapshot owners and private deferral	Retained without participant registries
crates/canic-control-plane/src/workflow/canister_pool/mod.rs	native registration custody	Pool owns maintenance and recovery-watchdog registrations	Retained with demand derived from pool journals and Fleet state
crates/canic-control-plane/src/workflow/component_provisioning.rs	private lifecycle consumer	Provisioning schedules a bounded private continuation	Retained with the operation journal as authority
crates/canic-control-plane/src/workflow/component_registry/mod.rs	private lifecycle consumer	Registry schedules bounded private continuations	Retained with registry operations as authority
crates/canic-control-plane/src/workflow/fleet_coordinator/mod.rs	private lifecycle consumer	Coordinator removal schedules bounded private continuations	Retained with removal state as authority
crates/canic-control-plane/src/workflow/fleet_registry_mirror/mod.rs	private lifecycle consumer	Mirror schedules one bounded private continuation	Retained with mirror state as authority
crates/canic-control-plane/src/workflow/fleet_subnet_root.rs	private lifecycle consumer	Root removal schedules one bounded private continuation	Retained with removal state as authority
crates/canic-control-plane/src/workflow/root_admission/mod.rs	private lifecycle consumer	Root admission schedules bounded private convergence continuations	Retained with the Root admission journal as authority
crates/canic-core/src/api/runtime/mod.rs	DTO/metrics projection	Runtime API converts atomic provider snapshots to neutral status	Retained without registration capability
crates/canic-core/src/api/runtime/root_funding.rs	private lifecycle consumer	Root funding lifecycle API reconciles or fences the sole cycle-top-up owner	Retained without independent timer custody
crates/canic-core/src/api/timer.rs	private lifecycle consumer	Internal API exposes only required initialization, deferral and authority transitions	Retained as a private boundary; public application facade remains absent
crates/canic-core/src/control_plane_support.rs	domain async-job recovery	Control-plane support reexports exact recovery operations	Retained without timer provider state
crates/canic-core/src/domain/runtime.rs	DTO/metrics projection	Domain types name neutral timer observation outcomes	Retained without registration capability
crates/canic-core/src/dto/runtime.rs	DTO/metrics projection	Boundary DTOs carry read-only timer observations	Retained without registration capability
crates/canic-core/src/lifecycle/init/nonroot.rs	private lifecycle consumer	Nonroot init reconstructs exact profile claims before private bootstrap	Retained with synchronous restore ordering
crates/canic-core/src/lifecycle/init/root.rs	private lifecycle consumer	Root init reconstructs only Root claims	Retained with synchronous restore ordering
crates/canic-core/src/lifecycle/upgrade/nonroot.rs	private lifecycle consumer	Nonroot upgrade reconstructs exact profile claims before private bootstrap	Retained with synchronous restore ordering
crates/canic-core/src/lifecycle/upgrade/root.rs	private lifecycle consumer	Root upgrade restores authority state before exact claim reconstruction	Retained with synchronous restore ordering
crates/canic-core/src/ops/runtime/metrics/mod.rs	DTO/metrics projection	Metrics reads the atomic native inventory	Retained without registration capability
crates/canic-core/src/ops/storage/async_job_recovery/mod.rs	domain async-job recovery	Ops owns checked attempt leases and cycle-only replay identity	Retained without provider scheduling fields
crates/canic-core/src/ops/storage/mod.rs	domain async-job recovery	Storage ops router exposes the exact recovery module	Retained without provider scheduling fields
crates/canic-core/src/role_contract/allocation.rs	domain async-job recovery	Role contract allocates memory ID 60 to the exact recovery record	Retained without provider scheduling fields
crates/canic-core/src/role_contract/catalog.rs	domain async-job recovery	Role catalogue includes the exact recovery allocation	Retained without provider scheduling fields
