claim_or_registration	current_native_type	lifetime	current_custody	authoritative_demand	target_custody	disposition
application one-shot	OnceRegistration	RemoveWhenStopped	central ClaimKey::Transient and public TimerHandle	application future	application-owned native registration	Delete Canic facade and transient identity in B2; runtime_probe becomes direct provider evidence
application interval	AfterCompletionRegistration	RemoveWhenStopped	central ClaimKey::Transient and public TimerHandle	application recurrence	application-owned native registration	Delete Canic facade in B2; guide shows direct after-completion custody cancel and unregister
private lifecycle/operation deferral	OnceRegistration	RemoveWhenStopped	central ClaimKey::Transient with lifecycle label	lifecycle or durable operation continuation	private lifecycle/operation call site	Retain behavior through private direct native once registration; no public handle or generic claim map
auth renewal	OnceRegistration	Retained	ClaimKey::BuiltIn(AuthRenewal)	enabled root issuer templates config durable batch and proof timing	runtime auth renewal owner	Move identity registration reconcile and callback to auth owner; compile only for exact capability
automatic cycle top-up	OnceRegistration	Retained	ClaimKey::BuiltIn(CycleTopup)	AutomaticTopup capability balance funding policy/history and exact retry generation	cycle top-up owner	Move native custody to cycles; prune from Root Coordinator Store and Runtime-only
intent cleanup	OnceRegistration	Retained	ClaimKey::BuiltIn(IntentCleanup)	earliest durable intent expiry	intent cleanup owner	Move native custody to intent owner; no async-job record
log retention	OnceRegistration	Retained	ClaimKey::BuiltIn(LogRetention)	log index and retention policy	log retention owner	Move native custody to log owner; no async-job record
placement receipt acknowledgement	OnceRegistration	Retained	ClaimKey::BuiltIn(PlacementReceiptAcknowledgement)	durable terminal receipt index and receipt operation IDs	placement acknowledgement owner	Move native custody to placement owner; inactive when index is empty
root canister-pool maintenance	AfterCompletionRegistration	Retained	ClaimKey::CanisterPoolMaintenance wrapped by TimerHandle	Fleet activation/draining plus pool records and journals	control-plane canister-pool owner	Hold native registration directly; provider owns cadence and pool owns demand
async-job recovery watchdog	WatchdogRegistration	Retained	ClaimKey::RecoveryWatchdog	expired business-attempt lease plus confirmed current domain demand	closed async-job recovery owner set	Retain one native watchdog; remove alternate scheduling lane and durable provider mirrors
runtime-probe companion	OnceRegistration	Retained	runtime_probe fixture	fixture-owned shared inventory row	runtime_probe fixture	Retain as direct-provider composition evidence
